nombre_color;codigo_hex
Amarillo Claro ;#f1d688
Azul Bebé ;#8db6e2
Azul Hortensia;#849bcc
Azul Noche;#101938
Azul Oscuro Dia;#14346f
Azul Petroleo;#246cbe
Azul Rey;#345bd2
Azul Turquesa;#0093d6
Beige;#e0cec6
Blanco;#ffffff
Café;#392B1D
Cereza;#e63d68
Fucsia;#d83682
Gris Claro;#DADBDB
Gris Raton ;#A0A0A2
Lila;#9d4edd
Morada;#3c096c
Naranja;#fe731c
Negro ;#000000
Rojo;#ff0000
Rosado Claro;#f7c0fb
Rosado Oscuro;#cf70a4
Salmon;#f28b84
Terracota;#c66e43
Verde Antioquia;#02AE1A
Verde Jade;#4c95a6
Verde Limon;#CFCF11
Verde Menta;#ACE6FA
Verde Militar;#1e4d2b
Vino Tinto;#56070c
Indigo Claro;
IndigoOscuro;
Claro;
Oscuro;
Unico;
